id,short_name,long_name,overall,age,dob,height_cm,weight_kg,my_team
0,L. Messi,Lionel Andrés Messi Cuccittini,93,34,1987-06-24,170,72,false
1,R. Lewandowski,Robert Lewandowski,92,32,1988-08-21,185,81,false
2,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,91,36,1985-02-05,187,83,false
3,Neymar Jr,Neymar da Silva Santos Júnior,91,29,1992-02-05,175,68,false
4,K. De Bruyne,Kevin De Bruyne,91,30,1991-06-28,181,70,false
5,J. Oblak,Jan Oblak,91,28,1993-01-07,188,87,false
6,K. Mbappé,Kylian Mbappé Lottin,91,22,1998-12-20,182,73,false
7,M. Neuer,Manuel Peter Neuer,90,35,1986-03-27,193,93,false
8,M. ter Stegen,Marc-André ter Stegen,90,29,1992-04-30,187,85,false
9,H. Kane,Harry Kane,90,27,1993-07-28,188,89,false
10,N. Kanté,N'Golo Kanté,90,30,1991-03-29,168,70,false
11,S. Mané,Sadio Mané,89,29,1992-04-10,175,69,false
12,G. Donnarumma,Gianluigi Donnarumma,89,22,1999-02-25,196,90,false
13,Alisson,Alisson Ramsés Becker,89,28,1992-10-02,191,91,false
14,Ederson,Ederson Santana de Moraes,89,27,1993-08-17,188,86,false
15,M. Salah,Mohamed Salah Ghaly,89,29,1992-06-15,175,71,false
16,J. Kimmich,Joshua Walter Kimmich,89,26,1995-02-08,177,75,false
17,V. van Dijk,Virgil van Dijk,89,29,1991-07-08,193,92,false
18,K. Benzema,Karim Benzema,89,33,1987-12-19,185,81,false
19,H. Son,손흥민 孙兴慜,89,28,1992-07-08,183,78,false
20,T. Courtois,Thibaut Courtois,89,29,1992-05-11,199,96,false
21,Casemiro,Carlos Henrique Venancio Casimiro,89,29,1992-02-23,185,84,false
22,E. Haaland,Erling Braut Haaland,88,20,2000-07-21,194,94,false
23,Bruno Fernandes,Bruno Miguel Borges Fernandes,88,26,1994-09-08,179,69,false
24,R. Lukaku,Romelu Lukaku Menama,88,28,1993-05-13,191,94,false
25,T. Kroos,Toni Kroos,88,31,1990-01-04,183,76,false
26,L. Suárez,Luis Alberto Suárez Díaz,88,34,1987-01-24,182,83,false
27,Sergio Ramos,Sergio Ramos García,88,35,1986-03-30,184,82,false
28,M. Verratti,Marco Verratti,87,28,1992-11-05,165,60,false
29,Rúben Dias,Rúben dos Santos Gato Alves Dias,87,24,1997-05-14,187,82,false
30,J. Sancho,Jadon Sancho,87,21,2000-03-25,180,76,false
